"","msci_us_value","snp_us_value","msci_us_quality","snp_us_quality","msci_us_volatility","snp_us_volatility","msci_us_momentum","snp_us_momentum"
"2005/01/31",-0.019648,-0.024296,-0.011581,-0.01698,-0.017412,-0.014773,-0.020693,-0.017613
"2005/02/28",0.030519,0.018104,0.026107,0.040927,0.021229,0.008055,0.0601,0.064658
"2005/03/31",-0.015829,-0.01778,-0.010578,-0.014051,-0.009847,-0.004638,-0.009738,-0.012593
"2005/04/30",-0.014857,-0.020424,-0.0224,-0.023667,0.001186,-0.000605,-0.038972,-0.038832
"2005/05/31",0.02011,0.031654,0.028394,0.033877,0.021943,0.015035,0.038542,0.030848
"2005/06/30",0.006386,0.015095,-0.01133,-0.007666,0.00513,-3.6e-05,0.036921,0.020739
"2005/07/31",0.025235,0.031516,0.03537,0.039507,0.028153,0.024016,0.041499,0.044516
"2005/08/31",-0.007957,-0.007496,-0.014375,-0.014975,-0.010937,-0.010085,0.017137,0.012481
"2005/09/30",0.013966,0.010378,-0.001021,0.006639,0.004166,-0.000505,0.040485,0.040425
"2005/10/31",-0.021876,-0.017451,-0.014273,-0.01975,-0.013674,-0.016633,-0.030593,-0.03157
"2005/11/30",0.037079,0.037414,0.030628,0.034758,0.030085,0.02053,0.031463,0.03151
"2005/12/31",0.007507,0.002692,-0.007552,-0.005496,0.005799,0.002339,0.01749,0.016398
"2006/01/31",0.026378,0.029848,0.015625,0.02898,0.022395,0.008019,0.065634,0.051345
"2006/02/28",0.009299,0.0108,0.000831,-0.007,0.004083,0.023526,-0.037628,-0.017653
"2006/03/31",0.012669,0.017049,0.006683,0.0247,0.006663,0.006521,0.01811,0.020716
"2006/04/30",0.026248,0.027885,-0.00331,0.011358,0.006051,0.021635,0.011799,0.015866
"2006/05/31",-0.024449,-0.024454,-0.028351,-0.030193,-0.018979,-0.00768,-0.041486,-0.041736
"2006/06/30",0.005317,0.003362,0.005217,0.008604,0.008681,0.004365,0.009219,0.002475
"2006/07/31",0.026316,0.010031,0.005893,0.002521,0.019536,0.021869,-0.032628,-0.001793
"2006/08/31",0.02039,0.015262,0.026703,0.03323,0.018943,0.021864,-0.007719,0.004503
"2006/09/30",0.023838,0.026623,0.019714,0.017193,0.013841,0.020468,0.019814,0.002634
"2006/10/31",0.033127,0.033349,0.040141,0.045408,0.029304,0.028016,0.048368,0.037357
"2006/11/30",0.018968,0.017946,0.02139,0.02984,0.018883,0.010107,0.04125,0.012918
"2006/12/31",0.023466,0.024101,0.005098,0.00078,0.01163,0.022988,0.014133,0.008623
"2007/01/31",0.01181,0.017616,0.012945,0.01907,0.017527,0.010264,0.038167,0.029766
"2007/02/28",-0.015856,-0.016937,-0.026515,-0.017888,-0.012294,0.000634,-0.029178,-0.022663
"2007/03/31",0.016104,0.012999,0.011102,0.014068,0.005648,0.005917,0.023,0.016099
"2007/04/30",0.041644,0.041965,0.051195,0.056035,0.037229,0.029479,0.038167,0.034029
"2007/05/31",0.035397,0.038187,0.034636,0.041811,0.025857,0.016365,0.035998,0.026633
"2007/06/30",-0.021777,-0.02055,-0.012929,-0.00931,-0.030685,-0.029446,-0.027386,-0.0268
"2007/07/31",-0.044584,-0.039301,-0.016211,-0.012552,-0.030883,-0.047796,-0.032456,-0.033569
"2007/08/31",0.014704,0.013471,0.026453,0.009247,0.020679,0.026044,0.012861,0.022242
"2007/09/30",0.034079,0.031048,0.033116,0.044173,0.036332,0.023235,0.070614,0.051825
"2007/10/31",0.00131,0.010502,0.016612,0.030555,0.012115,0.001798,0.043854,0.039886
"2007/11/30",-0.04954,-0.048576,-0.029361,-0.036279,-0.023991,-0.017649,-0.033047,-0.050963
"2007/12/31",-0.013347,-0.015767,0.004111,0.010242,-0.011826,-0.009957,0.031365,0.0143
"2008/01/31",-0.04066,-0.03487,-0.071736,-0.069589,-0.0462,-0.050901,-0.115864,-0.100717
"2008/02/29",-0.047647,-0.052123,-0.011745,-0.018142,-0.030033,-0.025484,-0.00402,-0.014972
"2008/03/31",-0.002501,-0.004667,-0.004087,-0.017601,-3.1e-05,-0.000512,-0.004018,0.026593
"2008/04/30",0.039961,0.037319,0.032996,0.051824,0.042289,0.019463,0.08393,0.072085
"2008/05/31",-0.005724,0.001165,0.027753,0.013512,0.010768,0.021269,0.040303,0.042286
"2008/06/30",-0.096439,-0.11214,-0.064507,-0.07832,-0.067092,-0.06468,-0.0134,-0.036375
"2008/07/31",-0.004469,0.013581,-0.00888,-0.009006,0.019321,0.028965,-0.091587,-0.071972
"2008/08/31",0.014989,0.01339,0.022917,0.028348,0.018775,0.03262,-0.007567,0.003168
"2008/09/30",-0.064316,-0.07483,-0.071861,-0.081919,-0.028895,-0.041584,-0.155074,-0.114203
"2008/10/31",-0.16009,-0.171071,-0.151718,-0.162832,-0.145265,-0.128336,-0.144363,-0.14004
"2008/11/30",-0.056899,-0.089717,-0.046982,-0.062408,-0.051223,-0.033613,-0.084065,-0.064011
"2008/12/31",0.013329,0.009533,0.0114,0.018286,-0.000149,0.017729,0.014868,0.006904
"2009/01/31",-0.116866,-0.121584,-0.045463,-0.056604,-0.089221,-0.029608,-0.090969,-0.033065
"2009/02/28",-0.135793,-0.130749,-0.083765,-0.082046,-0.096215,-0.103403,-0.099101,-0.080293
"2009/03/31",0.089165,0.098713,0.087306,0.094354,0.066204,0.045701,0.063309,0.065723
"2009/04/30",0.102396,0.110397,0.069784,0.083237,0.072715,0.042016,0.057796,0.006695
"2009/05/31",0.066282,0.063606,0.052775,0.042013,0.044327,0.029935,0.044222,0.039254
"2009/06/30",-0.00978,-0.004992,0.016195,0.014295,0.01077,0.028232,0.023695,0.013106
"2009/07/31",0.079765,0.084212,0.057557,0.056147,0.06291,0.042355,0.065608,0.050826
"2009/08/31",0.050757,0.054484,0.022493,0.030383,0.030184,0.020063,0.012467,0.005621
"2009/09/30",0.032014,0.031595,0.034295,0.035472,0.034917,0.026725,0.038265,0.017353
"2009/10/31",-0.025859,-0.036233,0.001251,-0.01518,-0.025139,-0.00501,-0.029593,-0.016061
"2009/11/30",0.059849,0.062599,0.06123,0.060618,0.057492,0.059495,0.068131,0.058961
"2009/12/31",0.009239,0.017642,0.02089,0.021561,0.019435,0.031829,0.028987,0.041921
"2010/01/31",-0.021508,-0.020174,-0.043527,-0.022096,-0.025764,-0.023271,-0.06421,-0.042212
"2010/02/28",0.023961,0.027551,0.023177,0.031564,0.021215,0.017984,0.048115,0.050432
"2010/03/31",0.06096,0.063673,0.050171,0.06251,0.036934,0.038511,0.073636,0.069228
"2010/04/30",0.015038,0.018817,0.009059,0.007281,0.008644,0.007566,0.005679,0.022136
"2010/05/31",-0.078293,-0.079227,-0.082081,-0.076085,-0.058443,-0.05219,-0.068117,-0.080433
"2010/06/30",-0.0493,-0.057345,-0.038599,-0.040543,-0.016117,-0.013089,-0.054662,-0.073192
"2010/07/31",0.067048,0.070834,0.060634,0.053611,0.047857,0.050054,0.076973,0.081879
"2010/08/31",-0.041049,-0.046753,-0.034141,-0.03865,-0.013422,-0.006146,-0.043166,-0.058852
"2010/09/30",0.074042,0.077411,0.10129,0.092707,0.071102,0.054812,0.103566,0.115027
"2010/10/31",0.026334,0.025895,0.044905,0.040343,0.032491,0.024285,0.049204,0.047297
"2010/11/30",-0.00563,-0.004632,-0.001008,0.001417,-0.008364,-0.014234,0.019209,0.018147
"2010/12/31",0.078486,0.082233,0.045184,0.041667,0.049568,0.047982,0.041939,0.046473
"2011/01/31",0.028277,0.032335,0.012844,0.006706,-0.001536,-0.003164,0.005658,0.0166
"2011/02/28",0.041152,0.036881,0.028287,0.034504,0.031011,0.026602,0.040321,0.042319
"2011/03/31",-0.001276,-0.002207,0.000596,0.000985,0.015746,0.012931,0.020645,0.017404
"2011/04/30",0.030189,0.025328,0.044976,0.053826,0.04023,0.040238,0.038922,0.025228
"2011/05/31",-0.015033,-0.018294,-0.001248,0.006651,0.010981,0.01919,-0.00497,-0.018974
"2011/06/30",-0.019941,-0.021142,-0.005528,0.000552,-0.011393,-0.012216,-0.006697,-0.005037
"2011/07/31",-0.034163,-0.035648,-0.003159,-0.01123,-0.033272,-0.023598,-0.018622,-0.015586
"2011/08/31",-0.055291,-0.06178,-0.040064,-0.033824,-0.002613,0.001335,-0.056844,-0.064672
"2011/09/30",-0.068541,-0.074924,-0.047045,-0.048776,-0.026911,-0.021513,-0.049929,-0.077915
"2011/10/31",0.100911,0.11313,0.089539,0.092191,0.065754,0.059137,0.082383,0.104955
"2011/11/30",-0.004121,-0.00315,0.005513,0.002645,0.011646,0.011541,0.00411,0.001635
"2011/12/31",0.024292,0.018221,0.003175,0.007073,0.026307,0.031586,0.012344,0.002199
"2012/01/31",0.032144,0.049106,0.052627,0.057013,0.014668,-0.00502,0.019406,0.043644
"2012/02/29",0.039868,0.041681,0.040496,0.042099,0.021851,0.018952,0.050873,0.056694
"2012/03/31",0.029831,0.033711,0.035917,0.030815,0.025883,0.028291,0.043315,0.047823
"2012/04/30",-0.009514,-0.013288,-0.003425,-0.002522,0.013672,0.010962,0.018022,0.014064
"2012/05/31",-0.058503,-0.066739,-0.056733,-0.068239,-0.02477,-0.015539,-0.046607,-0.037947
"2012/06/30",0.04798,0.047053,0.029162,0.038362,0.039053,0.041572,0.030967,0.025067
"2012/07/31",0.012659,0.008615,0.01061,0.002072,0.018984,0.021036,0.013339,0.010944
"2012/08/31",0.013755,0.021879,0.028263,0.019002,-0.000518,-0.008574,0.013732,0.013617
"2012/09/30",0.029641,0.031315,0.020285,0.021027,0.015449,0.017094,0.018308,0.022234
"2012/10/31",-0.005643,-0.006746,-0.036191,-0.018295,-0.009836,-0.000804,-0.023563,-0.02003
"2012/11/30",-0.006418,0.001616,0.011019,0.013748,0.001945,-0.00242,0.017916,0.008369
"2012/12/31",0.019351,0.021698,-0.015203,0.008656,-0.008129,-0.005479,-0.010152,-0.019133
"2013/01/31",0.062819,0.064993,0.050781,0.06019,0.050931,0.050441,0.043794,0.035609
"2013/02/28",0.01587,0.013597,0.015062,0.017999,0.027072,0.027228,0.020658,0.019373
"2013/03/31",0.038587,0.037252,0.032329,0.049901,0.051235,0.048732,0.050211,0.040534
"2013/04/30",0.026181,0.017894,0.021385,0.015245,0.027352,0.038396,0.029114,0.018476
"2013/05/31",0.022416,0.024872,0.028492,0.028402,-0.02441,-0.034339,-0.00066,0.026055
"2013/06/30",-0.007326,-0.009196,-0.026489,-0.018769,-0.003258,0.006042,-0.009633,-0.013246
"2013/07/31",0.045906,0.051071,0.043504,0.048005,0.036481,0.042384,0.062918,0.048763
"2013/08/31",-0.037064,-0.035902,-0.019272,-0.032258,-0.032243,-0.048339,-0.034386,-0.033388
"2013/09/30",0.022187,0.024715,0.037319,0.036626,0.025672,0.019795,0.031432,0.034215
"2013/10/31",0.04708,0.043725,0.04758,0.040103,0.047256,0.045745,0.052404,0.037812
"2013/11/30",0.02651,0.028188,0.040878,0.032824,0.013397,0.011942,0.030771,0.048301
"2013/12/31",0.023913,0.023423,0.024258,0.023862,0.012575,0.011264,0.030054,0.0172
"2014/01/31",-0.035789,-0.04003,-0.041317,-0.04293,-0.030002,-0.024885,-0.022461,-0.032804
"2014/02/28",0.040138,0.03843,0.048645,0.049824,0.043633,0.037291,0.066636,0.044658
"2014/03/31",0.027387,0.025801,-0.004868,0.002692,0.008303,0.021061,-0.033813,-0.008425
"2014/04/30",0.012005,0.012108,0.009396,0.005291,0.01395,0.019479,-0.008769,-0.011859
"2014/05/31",0.014495,0.012717,0.021738,0.019106,0.01158,0.010427,0.039981,0.040239
"2014/06/30",0.021208,0.020524,0.006026,0.014557,0.013126,0.021555,0.021049,0.015386
"2014/07/31",-0.017117,-0.015263,-0.008051,-0.010916,-0.015152,-0.038001,-0.010716,-0.004687
"2014/08/31",0.035027,0.036163,0.045218,0.047907,0.040678,0.037552,0.046616,0.04047
"2014/09/30",-0.014948,-0.017469,-0.010349,-0.015369,-0.007611,-0.008603,-0.006014,0.001217
"2014/10/31",0.019762,0.018836,0.028826,0.035234,0.04303,0.049408,0.023287,0.010856
"2014/11/30",0.017669,0.022846,0.023971,0.036357,0.034451,0.028546,0.037857,0.027114
"2014/12/31",-0.000536,0.005428,-0.003481,0.00253,0.001164,0.012122,-0.010462,-0.011913
"2015/01/31",-0.040248,-0.044366,-0.017082,-0.025752,-0.004847,-0.00443,-0.005796,-0.019236
"2015/02/28",0.049711,0.054879,0.060447,0.059937,0.03664,0.015215,0.05458,0.065848
"2015/03/31",-0.02096,-0.014814,-0.015664,-0.01517,-0.007245,-0.003486,-0.011524,-0.012715
"2015/04/30",0.019566,0.014987,0.003111,-0.003597,-0.00556,-0.019786,-0.008726,-0.029438
"2015/05/31",0.009248,0.007364,0.014533,0.019612,0.0107,0.009406,0.032898,0.030783
"2015/06/30",-0.025607,-0.019654,-0.019692,-0.019215,-0.0222,-0.01773,-0.002519,-0.031082
"2015/07/31",0.007919,0.003804,0.029369,0.014852,0.039823,0.043382,0.03882,0.039098
"2015/08/31",-0.057908,-0.059754,-0.053748,-0.063279,-0.045058,-0.049051,-0.059596,-0.05155
"2015/09/30",-0.020796,-0.027892,-0.007745,-0.023646,-0.00565,-0.004061,-0.019269,-0.012464
"2015/10/31",0.079309,0.073194,0.092662,0.083505,0.060117,0.068115,0.072879,0.079426
"2015/11/30",0.003678,0.005097,0.002669,0.004068,-0.002352,0.010936,0.005111,0.003352
"2015/12/31",-0.015613,-0.016805,-0.012443,-0.018964,0.005148,-0.001071,-0.000538,0.001076
"2016/01/31",-0.043035,-0.048812,-0.046507,-0.047508,-0.013923,-0.017218,-0.036865,-0.04754
"2016/02/29",-0.000827,0.005527,-0.000759,0.01018,0.010889,0.01031,-0.013092,-0.004856
"2016/03/31",0.067625,0.068503,0.062519,0.058266,0.060126,0.059656,0.05276,0.050679
"2016/04/30",0.011895,0.021102,-0.013639,0.004651,-0.004498,-0.007036,-0.006548,-0.015281
"2016/05/31",0.016914,0.009127,0.013923,0.007397,0.016089,0.016646,0.024652,0.028191
"2016/06/30",0.011691,0.008904,-0.006447,0.003184,0.045784,0.057452,0.030034,0.008446
